"order","family","genus","species","growth_form"
"Fabales","Fabaceae","Acacia","Acacia_cochlocarpa_subsp._velutinosa",NA
"Fabales","Fabaceae","Acacia","Acacia_cockertoniana",NA
"Fabales","Fabaceae","Acacia","Acacia_colei","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_colei_var._colei",NA
"Fabales","Fabaceae","Acacia","Acacia_colei_var._ileocarpa",NA
"Fabales","Fabaceae","Acacia","Acacia_colletioides","shrub"
"Fabales","Fabaceae","Acacia","Acacia_comans","shrub"
"Fabales","Fabaceae","Acacia","Acacia_complanata","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_concolorans","subshrub"
"Fabales","Fabaceae","Acacia","Acacia_concurrens","tree"
"Fabales","Fabaceae","Acacia","Acacia_conferta","shrub"
"Fabales","Fabaceae","Acacia","Acacia_confluens","shrub"
"Fabales","Fabaceae","Acacia","Acacia_congesta","shrub"
"Fabales","Fabaceae","Acacia","Acacia_congesta_subsp._cliftoniana",NA
"Fabales","Fabaceae","Acacia","Acacia_congesta_subsp._congesta",NA
"Fabales","Fabaceae","Acacia","Acacia_congesta_subsp._wonganensis",NA
"Fabales","Fabaceae","Acacia","Acacia_conjunctifolia","shrub"
"Fabales","Fabaceae","Acacia","Acacia_conniana","shrub"
"Fabales","Fabaceae","Acacia","Acacia_consanguinea","shrub"
"Fabales","Fabaceae","Acacia","Acacia_consobrina","shrub"
"Fabales","Fabaceae","Acacia","Acacia_conspersa","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_constablei","shrub"
"Fabales","Fabaceae","Acacia","Acacia_continua","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_convallium","tree"
"Fabales","Fabaceae","Acacia","Acacia_coolgardiensis","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_coriacea","shrub"
"Fabales","Fabaceae","Acacia","Acacia_coriacea_subsp._coriacea",NA
"Fabales","Fabaceae","Acacia","Acacia_coriacea_subsp._pendens",NA
"Fabales","Fabaceae","Acacia","Acacia_costata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_costiniana","shrub"
"Fabales","Fabaceae","Acacia","Acacia_courtii","tree"
"Fabales","Fabaceae","Acacia","Acacia_covenyi","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_cowaniana","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_cowleana","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_cracentis","shrub"
"Fabales","Fabaceae","Acacia","Acacia_craspedocarpa","shrub"
"Fabales","Fabaceae","Acacia","Acacia_crassa","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_crassa_subsp._crassa",NA
"Fabales","Fabaceae","Acacia","Acacia_crassa_subsp._longicoma",NA
"Fabales","Fabaceae","Acacia","Acacia_crassicarpa","tree"
"Fabales","Fabaceae","Acacia","Acacia_crassistipula","shrub"
"Fabales","Fabaceae","Acacia","Acacia_crassiuscula","shrub"
"Fabales","Fabaceae","Acacia","Acacia_crassuloides","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cremiflora","shrub"
"Fabales","Fabaceae","Acacia","Acacia_crenulata","shrub"
"Fabales","Fabaceae","Acacia","Acacia_cretacea","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_cretata","shrub tree"
"Fabales","Fabaceae","Acacia","Acacia_crispula","shrub"
"Fabales","Fabaceae","Acacia","Acacia_crombiei","tree"
